,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
118,5,10,0,1,0,1,0,1,0,1,2,1,1,0,2,0,2,0,1,2,2,2,1,2,2,1,1,0,1,1
119,6,14,3,0,1,2,2,1,2,0,0,1,2,0,2,0,0,1,0,2,2,2,1,1,0,1,0,2,1,0
120,20,23,18,1,0,1,1,0,1,0,2,2,0,0,0,1,2,0,0,2,1,1,0,0,1,1,0,1,1,1
121,5,15,9,0,2,1,2,2,1,0,0,0,0,2,0,1,1,0,0,0,1,2,0,2,1,1,2,0,0,2
122,22,7,17,1,1,1,2,2,2,1,2,1,1,0,0,2,2,1,2,0,0,2,2,0,2,2,0,2,1,2
123,6,14,19,2,2,2,1,2,1,0,0,2,2,0,0,2,2,1,1,1,2,1,2,2,1,2,2,0,1,2
124,5,16,24,1,1,2,2,1,1,0,0,2,0,0,2,0,2,2,1,0,2,1,1,1,2,0,2,2,1,0
125,6,16,5,0,2,1,1,0,1,1,0,0,1,2,2,2,1,2,2,1,2,0,1,2,2,0,1,2,2,0
126,9,12,22,0,1,1,1,2,1,1,2,2,1,0,2,1,2,2,2,0,2,2,0,0,1,1,1,2,1,0
127,6,8,24,2,0,0,2,2,0,2,1,1,2,0,0,0,2,1,1,0,2,0,0,1,2,1,2,0,0,0
128,10,0,8,2,2,2,0,0,2,0,0,0,0,0,0,1,2,2,2,2,2,1,1,0,0,2,2,0,2,1
129,6,14,3,0,1,2,2,1,2,0,0,1,2,0,2,2,0,1,0,2,2,2,2,2,0,1,0,2,1,0
130,10,8,14,1,2,1,2,1,1,2,2,1,1,0,0,2,1,2,0,2,2,1,1,0,1,1,1,0,1,0
131,16,17,15,2,1,1,1,1,0,0,1,1,2,1,2,0,2,2,2,1,1,0,0,0,0,1,2,2,1,0
132,4,7,8,1,1,2,2,2,0,1,0,2,2,2,1,1,0,1,0,2,1,1,1,2,2,1,2,2,2,2
133,4,8,24,0,1,2,2,2,2,0,1,1,2,0,1,1,2,1,1,0,1,0,0,1,1,0,1,0,0,2
134,0,10,1,2,2,1,2,2,2,1,0,1,1,1,2,0,1,0,1,2,0,1,1,0,1,1,1,2,1,1
135,6,5,21,2,0,0,2,2,0,1,1,2,1,1,0,0,0,1,2,2,0,1,0,1,2,1,1,2,2,0
136,5,15,7,1,2,1,2,0,1,0,0,2,2,2,0,1,1,0,0,1,0,2,0,1,0,0,2,1,0,1
137,6,8,16,0,2,0,0,0,1,2,1,0,2,0,0,0,1,2,2,2,1,2,1,1,1,0,0,0,1,0
